
---------- Begin Simulation Statistics ----------
simSeconds                                   0.191666                       # Number of seconds simulated (Second)
simTicks                                 191665743000                       # Number of ticks simulated (Tick)
finalTick                                191665743000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2760.41                       # Real time elapsed on the host (Second)
hostTickRate                                 69433764                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1571500                       # Number of bytes of host memory used (Byte)
simInsts                                    818733608                       # Number of instructions simulated (Count)
simOps                                     1550468516                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   296598                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     561680                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        383331487                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.468201                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.135837                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1551312963                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      889                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1640821267                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3327                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               845330                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            990953                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 601                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           383206897                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.281816                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.348078                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  47533959     12.40%     12.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  42136887     11.00%     23.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  47676478     12.44%     35.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  42973782     11.21%     47.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  41868958     10.93%     57.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  40012988     10.44%     68.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28509545      7.44%     75.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  24879561      6.49%     82.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  24583145      6.42%     88.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  14547561      3.80%     92.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  9997049      2.61%     95.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  6586862      1.72%     96.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  4587187      1.20%     98.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  2579240      0.67%     98.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  2240136      0.58%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   466067      0.12%     99.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   974298      0.25%     99.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   332545      0.09%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   227709      0.06%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   492940      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             383206897                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     277      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.01% # attempts to use FU when none available (Count)
