
---------- Begin Simulation Statistics ----------
simSeconds                                   0.078304                       # Number of seconds simulated (Second)
simTicks                                  78303891000                       # Number of ticks simulated (Tick)
finalTick                                 78303891000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    788.56                       # Real time elapsed on the host (Second)
hostTickRate                                 99299305                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     718760                       # Number of bytes of host memory used (Byte)
simInsts                                    219950119                       # Number of instructions simulated (Count)
simOps                                      359412571                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   278925                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     455781                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        156607783                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.712015                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.404465                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       366504639                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      377                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      364244382                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  15409                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7092439                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          17916543                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 245                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           156473339                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.327837                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.924993                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  73080740     46.70%     46.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13616688      8.70%     55.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  13079837      8.36%     63.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8192319      5.24%     69.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13703907      8.76%     77.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8757200      5.60%     83.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5378972      3.44%     86.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5468193      3.49%     90.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9348940      5.97%     96.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4858029      3.10%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   232734      0.15%     99.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   188001      0.12%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   148295      0.09%     99.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   111510      0.07%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   121983      0.08%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   141133      0.09%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    16613      0.01%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    10361      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     6548      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    11336      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
