
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010171                       # Number of seconds simulated (Second)
simTicks                                  10171212000                       # Number of ticks simulated (Tick)
finalTick                                 10171212000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     98.47                       # Real time elapsed on the host (Second)
hostTickRate                                103294588                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     708844                       # Number of bytes of host memory used (Byte)
simInsts                                     34702546                       # Number of instructions simulated (Count)
simOps                                       62194314                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   352424                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     631619                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20342425                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.586194                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.705920                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        63645497                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      398                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       63503165                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3028                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1451575                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3046190                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 272                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20235906                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.138143                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.514873                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7317388     36.16%     36.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1688322      8.34%     44.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1880971      9.30%     53.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1873445      9.26%     63.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1342391      6.63%     69.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1148128      5.67%     75.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1200440      5.93%     81.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1220603      6.03%     87.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    907474      4.48%     91.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    533331      2.64%     94.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   410057      2.03%     96.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   180313      0.89%     97.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   176069      0.87%     98.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   108093      0.53%     98.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    83308      0.41%     99.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    56133      0.28%     99.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    36394      0.18%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    16372      0.08%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                    32061      0.16%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    24613      0.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
