
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007262                       # Number of seconds simulated (Second)
simTicks                                   7262052500                       # Number of ticks simulated (Tick)
finalTick                                  7262052500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    112.03                       # Real time elapsed on the host (Second)
hostTickRate                                 64819541                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     699976                       # Number of bytes of host memory used (Byte)
simInsts                                     25609466                       # Number of instructions simulated (Count)
simOps                                       48541519                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   228585                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     433271                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         14524106                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.567138                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.763239                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        48935939                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      194                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       49404302                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2741                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               394608                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            690728                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 122                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            14425676                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.424748                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.164967                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    860444      5.96%      5.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1323670      9.18%     15.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3445367     23.88%     39.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1596816     11.07%     50.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4557673     31.59%     81.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    742812      5.15%     86.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    595350      4.13%     90.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    333915      2.31%     93.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    554106      3.84%     97.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    322968      2.24%     99.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    23014      0.16%     99.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    12861      0.09%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                     9884      0.07%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    12878      0.09%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     8611      0.06%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                     6196      0.04%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     6200      0.04%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     3661      0.03%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     2681      0.02%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     6569      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              14425676                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     261      1.06%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      1.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      1.06% # attempts to use FU when none available (Count)
