
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007264                       # Number of seconds simulated (Second)
simTicks                                   7263873500                       # Number of ticks simulated (Tick)
finalTick                                  7263873500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    102.41                       # Real time elapsed on the host (Second)
hostTickRate                                 70926282                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     699972                       # Number of bytes of host memory used (Byte)
simInsts                                     25680548                       # Number of instructions simulated (Count)
simOps                                       48612601                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   250751                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     474665                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         14527748                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.565710                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.767690                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        49017420                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      183                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       49487057                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3098                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               404996                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            672860                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 111                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            14430098                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.429433                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.171835                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    870295      6.03%      6.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1359021      9.42%     15.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3427865     23.75%     39.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1501059     10.40%     49.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4587351     31.79%     81.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    702373      4.87%     86.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    700257      4.85%     91.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    335081      2.32%     93.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    563775      3.91%     97.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    261594      1.81%     99.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    49433      0.34%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    15036      0.10%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                     9864      0.07%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    13399      0.09%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     8793      0.06%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                     6073      0.04%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     6112      0.04%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     3560      0.02%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     2568      0.02%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     6589      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
