
---------- Begin Simulation Statistics ----------
simSeconds                                   0.191632                       # Number of seconds simulated (Second)
simTicks                                 191631500000                       # Number of ticks simulated (Tick)
finalTick                                191631500000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2408.79                       # Real time elapsed on the host (Second)
hostTickRate                                 79555055                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1939812                       # Number of bytes of host memory used (Byte)
simInsts                                    818938650                       # Number of instructions simulated (Count)
simOps                                     1550633398                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   339979                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     643739                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        383263001                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.468000                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.136754                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1551088577                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      897                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1641057964                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3781                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               456031                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            665369                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 609                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           383143569                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.283141                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.324411                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  46332127     12.09%     12.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  40434364     10.55%     22.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  50934724     13.29%     35.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  43241962     11.29%     47.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  42351909     11.05%     58.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  38936209     10.16%     68.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  27908854      7.28%     75.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  24674352      6.44%     82.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  24269593      6.33%     88.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  16152239      4.22%     92.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 10366303      2.71%     95.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  6330011      1.65%     97.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  4500611      1.17%     98.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  2453185      0.64%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  2004397      0.52%     99.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   466217      0.12%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   729385      0.19%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   217167      0.06%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   328838      0.09%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   511122      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             383143569                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     292      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     17      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                 41575      1.23%      1.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      1.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      1.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      1.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   23      0.00%      1.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%      1.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%      1.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%      1.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd              1396      0.04%      1.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%      1.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%      1.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt               815      0.02%      1.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%      1.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%      1.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult            44045      1.31%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%      2.61% # attempts to use FU when none available (Count)
