
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005869                       # Number of seconds simulated (Second)
simTicks                                   5868743500                       # Number of ticks simulated (Tick)
finalTick                                  5868743500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     52.54                       # Real time elapsed on the host (Second)
hostTickRate                                111698051                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     702368                       # Number of bytes of host memory used (Byte)
simInsts                                     14156383                       # Number of instructions simulated (Count)
simOps                                       21490948                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   269434                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     409030                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11737488                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.829130                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.206083                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        21793853                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      347                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       22046167                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1616                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               303246                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            286265                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 221                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11642904                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.893528                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.659071                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6135119     52.69%     52.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    816895      7.02%     59.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1362611     11.70%     71.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    700401      6.02%     77.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    619380      5.32%     82.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    493159      4.24%     86.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    333332      2.86%     89.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    468981      4.03%     93.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    416719      3.58%     97.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    178185      1.53%     98.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    89091      0.77%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    18056      0.16%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                     4000      0.03%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                     2530      0.02%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     1707      0.01%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      963      0.01%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      652      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                      525      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                      222      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      376      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
