
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008041                       # Number of seconds simulated (Second)
simTicks                                   8041212500                       # Number of ticks simulated (Tick)
finalTick                                  8041212500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    102.81                       # Real time elapsed on the host (Second)
hostTickRate                                 78217117                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     704036                       # Number of bytes of host memory used (Byte)
simInsts                                     32598062                       # Number of instructions simulated (Count)
simOps                                       56926652                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   317082                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     553727                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         16082426                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.493355                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.026937                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        64667855                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      151                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       62600725                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1293                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7741348                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16020593                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  79                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            15999795                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.912595                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.716882                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2447552     15.30%     15.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1153782      7.21%     22.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1598519      9.99%     32.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1810201     11.31%     43.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2245861     14.04%     57.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2365756     14.79%     72.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1776868     11.11%     83.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1042812      6.52%     90.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    768835      4.81%     95.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    339966      2.12%     97.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   218535      1.37%     98.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   122834      0.77%     99.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   108274      0.68%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                12                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              15999795                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       3    100.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%    100.00% # attempts to use FU when none available (Count)
