
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008065                       # Number of seconds simulated (Second)
simTicks                                   8065004500                       # Number of ticks simulated (Tick)
finalTick                                  8065004500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    195.17                       # Real time elapsed on the host (Second)
hostTickRate                                 41323489                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     703732                       # Number of bytes of host memory used (Byte)
simInsts                                     32611506                       # Number of instructions simulated (Count)
simOps                                       56940096                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   167095                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     291750                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         16130010                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.494611                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.021791                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        64784095                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      151                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       62695690                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1453                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7844144                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16351216                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  79                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            16045576                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.907351                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.722916                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2466629     15.37%     15.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1152413      7.18%     22.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1619524     10.09%     32.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1848879     11.52%     44.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2259840     14.08%     58.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2264962     14.12%     72.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1801541     11.23%     83.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1058065      6.59%     90.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    776522      4.84%     95.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    345425      2.15%     97.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   220384      1.37%     98.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   123824      0.77%     99.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   107568      0.67%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                12                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              16045576                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      2     50.00%     50.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       2     50.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%    100.00% # attempts to use FU when none available (Count)
