
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008439                       # Number of seconds simulated (Second)
simTicks                                   8438575500                       # Number of ticks simulated (Tick)
finalTick                                  8438575500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    300.20                       # Real time elapsed on the host (Second)
hostTickRate                                 28109911                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     706496                       # Number of bytes of host memory used (Byte)
simInsts                                     32724144                       # Number of instructions simulated (Count)
simOps                                       57052393                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   109008                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     190048                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         16877152                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.515740                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.938961                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        70412389                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      166                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       67151763                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1798                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             13378190                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          24890512                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  94                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            16751583                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.008682                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.231055                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2944303     17.58%     17.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1597869      9.54%     27.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1640778      9.79%     36.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1987797     11.87%     48.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1843845     11.01%     59.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1621546      9.68%     69.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1428587      8.53%     77.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1169924      6.98%     84.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    905530      5.41%     90.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    703427      4.20%     94.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   280998      1.68%     96.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   323890      1.93%     98.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   123132      0.74%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    62293      0.37%     99.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    44757      0.27%     99.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    14010      0.08%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    35461      0.21%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     7163      0.04%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     5481      0.03%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    10792      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              16751583                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4774     18.80%     18.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       6      0.02%     18.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     18.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     18.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     18.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                   8198     32.28%     51.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     51.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     51.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     51.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     51.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    18      0.07%     51.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     51.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     51.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     51.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    6      0.02%     51.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     51.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     51.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     51.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     51.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     51.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     51.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     51.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     51.20% # attempts to use FU when none available (Count)
