
---------- Begin Simulation Statistics ----------
simSeconds                                   0.191631                       # Number of seconds simulated (Second)
simTicks                                 191630850500                       # Number of ticks simulated (Tick)
finalTick                                191630850500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2480.38                       # Real time elapsed on the host (Second)
hostTickRate                                 77258778                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1833316                       # Number of bytes of host memory used (Byte)
simInsts                                    818938678                       # Number of instructions simulated (Count)
simOps                                     1550633426                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   330167                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     625161                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        383261702                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.467998                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.136761                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1551091401                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      900                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1641045523                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3686                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               458869                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            667636                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 612                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           383145072                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.283092                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.325556                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  46398332     12.11%     12.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  40544961     10.58%     22.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  50828063     13.27%     35.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  43173625     11.27%     47.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  42309058     11.04%     58.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  38945476     10.16%     68.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  27826664      7.26%     75.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  24739743      6.46%     82.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  24259174      6.33%     88.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  16198805      4.23%     92.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 10379709      2.71%     95.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  6334182      1.65%     97.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  4499352      1.17%     98.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  2453834      0.64%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  2004315      0.52%     99.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   465344      0.12%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   731119      0.19%     99.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   214545      0.06%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   328419      0.09%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   510352      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
