
---------- Begin Simulation Statistics ----------
simSeconds                                   0.078320                       # Number of seconds simulated (Second)
simTicks                                  78319661000                       # Number of ticks simulated (Tick)
finalTick                                 78319661000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1131.90                       # Real time elapsed on the host (Second)
hostTickRate                                 69193201                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     714332                       # Number of bytes of host memory used (Byte)
simInsts                                    219914093                       # Number of instructions simulated (Count)
simOps                                      359341999                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   194288                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     317468                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        156639323                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.712275                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.403952                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       366418229                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      362                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      364183835                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  14067                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7076586                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          17992540                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 230                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           156507515                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.326942                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.925250                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  73135686     46.73%     46.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13623766      8.70%     55.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  13073090      8.35%     63.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8174241      5.22%     69.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13702668      8.76%     77.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8757800      5.60%     83.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5376271      3.44%     86.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5472679      3.50%     90.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9345493      5.97%     96.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4847680      3.10%     99.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   235984      0.15%     99.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   190894      0.12%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   148350      0.09%     99.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   114833      0.07%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   122151      0.08%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   139518      0.09%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    18703      0.01%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    11436      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     6364      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     9908      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             156507515                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  122689     51.70%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     51.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    194      0.08%     51.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                    117      0.05%     51.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    120      0.05%     51.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    41      0.02%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     51.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     51.90% # attempts to use FU when none available (Count)
