
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005884                       # Number of seconds simulated (Second)
simTicks                                   5883801500                       # Number of ticks simulated (Tick)
finalTick                                  5883801500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     52.11                       # Real time elapsed on the host (Second)
hostTickRate                                112911659                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     702364                       # Number of bytes of host memory used (Byte)
simInsts                                     14156386                       # Number of instructions simulated (Count)
simOps                                       21490951                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   271664                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     412416                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11767604                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.831258                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.202996                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        21790845                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      348                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       22053187                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1747                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               300236                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            280923                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 222                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11671710                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.889456                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.652230                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6148112     52.68%     52.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    820846      7.03%     59.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1371879     11.75%     71.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    700812      6.00%     77.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    624826      5.35%     82.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    494019      4.23%     87.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    331618      2.84%     89.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    470355      4.03%     93.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    420454      3.60%     97.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    172927      1.48%     99.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    89216      0.76%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    15537      0.13%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                     3955      0.03%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                     2643      0.02%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     1797      0.02%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      932      0.01%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      712      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                      457      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                      252      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      361      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
