
---------- Begin Simulation Statistics ----------
simSeconds                                   0.191637                       # Number of seconds simulated (Second)
simTicks                                 191636572000                       # Number of ticks simulated (Tick)
finalTick                                191636572000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2696.11                       # Real time elapsed on the host (Second)
hostTickRate                                 71079001                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1951076                       # Number of bytes of host memory used (Byte)
simInsts                                    818692950                       # Number of instructions simulated (Count)
simOps                                     1550387698                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   303657                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     575047                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        383273145                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.468152                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.136056                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1550850534                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1047                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1640748087                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3557                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               463846                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            681603                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 759                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           383157735                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.282174                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.326239                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  46466397     12.13%     12.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  40529046     10.58%     22.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  50899097     13.28%     35.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  43077780     11.24%     47.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  42369864     11.06%     58.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  38999517     10.18%     68.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  27584144      7.20%     75.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  24875864      6.49%     82.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  24298843      6.34%     88.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  16088443      4.20%     92.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 10359502      2.70%     95.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  6409868      1.67%     97.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  4495635      1.17%     98.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  2452334      0.64%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  2002992      0.52%     99.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   466146      0.12%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   725627      0.19%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   218467      0.06%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   326967      0.09%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   511202      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
