
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000173                       # Number of seconds simulated (Second)
simTicks                                    173021000                       # Number of ticks simulated (Tick)
finalTick                                   173021000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     55.35                       # Real time elapsed on the host (Second)
hostTickRate                                  3125699                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     710648                       # Number of bytes of host memory used (Byte)
simInsts                                       100005                       # Number of instructions simulated (Count)
simOps                                         193920                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     1807                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       3503                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           173022                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.730133                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.577990                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          409559                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                         334061                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1043                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               215017                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            434451                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples              142690                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.341166                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.118725                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     69656     48.82%     48.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     10849      7.60%     56.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     10778      7.55%     63.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      9859      6.91%     70.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      8681      6.08%     76.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      7681      5.38%     82.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      7621      5.34%     87.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      6397      4.48%     92.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      4301      3.01%     95.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                      2780      1.95%     97.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                     1465      1.03%     98.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                      860      0.60%     98.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                      385      0.27%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                      240      0.17%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                      511      0.36%     99.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      334      0.23%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      150      0.11%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       35      0.02%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       25      0.02%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                       82      0.06%    100.00% # Number of insts issued each cycle (Count)
