
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000167                       # Number of seconds simulated (Second)
simTicks                                    167457000                       # Number of ticks simulated (Tick)
finalTick                                   167457000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     28.12                       # Real time elapsed on the host (Second)
hostTickRate                                  5955947                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     709904                       # Number of bytes of host memory used (Byte)
simInsts                                       100003                       # Number of instructions simulated (Count)
simOps                                         194108                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     3557                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       6904                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           167458                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.674530                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.597183                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          410191                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                         331937                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1301                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               215938                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            449040                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples              141862                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.339858                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.128801                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     69173     48.76%     48.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     11053      7.79%     56.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     10289      7.25%     63.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     10183      7.18%     70.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      8864      6.25%     77.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      7560      5.33%     82.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      7429      5.24%     87.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      6302      4.44%     92.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      4082      2.88%     95.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                      2796      1.97%     97.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                     1407      0.99%     98.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                      833      0.59%     98.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                      445      0.31%     98.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                      297      0.21%     99.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                      506      0.36%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      231      0.16%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      206      0.15%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       77      0.05%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       46      0.03%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                       83      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                141862                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     508     83.97%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     83.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     83.97% # attempts to use FU when none available (Count)
