
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000281                       # Number of seconds simulated (Second)
simTicks                                    281391500                       # Number of ticks simulated (Tick)
finalTick                                   281391500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     87.29                       # Real time elapsed on the host (Second)
hostTickRate                                  3223803                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     704804                       # Number of bytes of host memory used (Byte)
simInsts                                       500001                       # Number of instructions simulated (Count)
simOps                                         881789                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     5728                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      10102                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           562784                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.125566                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.888442                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1012255                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       83                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         975655                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1734                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               130260                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            198011                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  53                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              470060                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.075597                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.925292                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    251338     53.47%     53.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     29945      6.37%     59.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     34904      7.43%     67.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     31115      6.62%     73.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     26971      5.74%     79.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     24473      5.21%     84.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     24314      5.17%     90.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     16017      3.41%     93.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     11076      2.36%     95.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                      8613      1.83%     97.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                     4588      0.98%     98.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                     3129      0.67%     99.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                     1468      0.31%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                      773      0.16%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                      618      0.13%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      338      0.07%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      124      0.03%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                      115      0.02%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                      124      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                       17      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
