
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003816                       # Number of seconds simulated (Second)
simTicks                                   3815944500                       # Number of ticks simulated (Tick)
finalTick                                  3815944500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    199.21                       # Real time elapsed on the host (Second)
hostTickRate                                 19155822                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     690288                       # Number of bytes of host memory used (Byte)
simInsts                                     19116571                       # Number of instructions simulated (Count)
simOps                                       24958805                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    95964                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     125292                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          7631890                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.399222                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.504872                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        25523272                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       80                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       25366840                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10117                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               564546                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1076584                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  41                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7554715                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.357749                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.639012                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1498057     19.83%     19.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    943548     12.49%     32.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1042493     13.80%     46.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    638043      8.45%     54.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    648304      8.58%     63.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    366666      4.85%     68.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1407678     18.63%     86.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    527845      6.99%     93.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    482081      6.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7554715                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    6267      1.40%      1.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     43      0.01%      1.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       1      0.00%      1.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                  734      0.16%      1.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc              1889      0.42%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     1      0.00%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 4268      0.95%      2.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      2.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      2.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      2.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      2.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      2.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      2.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    29      0.01%      2.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      2.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      2.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      2.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%      2.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%      2.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%      2.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%      2.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 2      0.00%      2.95% # attempts to use FU when none available (Count)
